
SUBJ	CRSE	SECTION	CRN	TITLE	CREDITS		M	T	W	TH	F	SAT	SUN	START	END	PROFESSOR	DISTRIBUTION	DJ	CLASS_CAP
CNSV	100	KI	92202	Studio Instruction	4		.	.	.	.	.	.	.			Keisuke Ikuma	PA 		5
CNSV	100	YWJ	92203	Studio Instruction	4		.	.	.	.	.	.	.			Yi-Wen Jiang	PA 		5
CNSV	100	BJC	92204	Studio Instruction	4		.	.	.	.	.	.	.			Barbara Currie	PA 		5
CNSV	100	EK	92205	Studio Instruction	4		.	.	.	.	.	.	.			Erica Kiesewetter	PA 		5
CNSV	100	AK	92206	Studio Instruction	4		.	.	.	.	.	.	.			Alexandra Knoll	PA 		5
CNSV	100	DK	92207	Studio Instruction	4		.	.	.	.	.	.	.			David Krakauer	PA 		5
CNSV	100	PMF	92208	Studio Instruction	4		.	.	.	.	.	.	.			Pascual Martinez Forteza	PA 		5
CNSV	100	JM	92209	Studio Instruction	4		.	.	.	.	.	.	.			Jeremy McCoy	PA 		5
CNSV	100	BM	92210	Studio Instruction	4		.	.	.	.	.	.	.			Blair McMillen	PA 		5
CNSV	100	THO	92211	Studio Instruction	4		.	.	.	.	.	.	.			Tara O'Connor	PA 		5
CNSV	100	DP	92212	Studio Instruction	4		.	.	.	.	.	.	.			Daniel Phillips	PA 		5
CNSV	100	TP	92213	Studio Instruction	4		.	.	.	.	.	.	.			Todd Phillips	PA 		5
CNSV	100	RR	92214	Studio Instruction	4		.	.	.	.	.	.	.			Raman Ramakrishnan	PA 		5
CNSV	100	MR	92215	Studio Instruction	4		.	.	.	.	.	.	.			Melissa Reardon	PA 		5
CNSV	100	RR2	92216	Studio Instruction	4		.	.	.	.	.	.	.			. TBA	PA 		5
CNSV	100	MR2	92217	Studio Instruction	4		.	.	.	.	.	.	.			Marcus Rojas	PA 		5
CNSV	100	SR	92218	Studio Instruction	4		.	.	.	.	.	.	.			Sasha Romero	PA 		5
CNSV	100	NS	92219	Studio Instruction	4		.	.	.	.	.	.	.			Nicholas Schwartz	PA 		5
CNSV	100	GS	92220	Studio Instruction	4		.	.	.	.	.	.	.			Gil Shaham	PA 		5
CNSV	100	WS	92221	Studio Instruction	4		.	.	.	.	.	.	.			Weston Sprott	PA 		5
CNSV	100	GV	92222	Studio Instruction	4		.	.	.	.	.	.	.			Gilles Vonsattel	PA 		5
CNSV	100	PW	92223	Studio Instruction	4		.	.	.	.	.	.	.			Peter Wiley	PA 		5
CNSV	100	TW	92224	Studio Instruction	4		.	.	.	.	.	.	.			Terrence Wilson	PA 		5
CNSV	100	SW	92225	Studio Instruction	4		.	.	.	.	.	.	.			Shai Wosner	PA 		5
CNSV	100	CZ	92226	Studio Instruction	4		.	.	.	.	.	.	.			Carmit Zori Rinehart	PA 		5
CNSV	100	RA	92465	Studio Instruction	4		.	.	.	.	.	.	.			. TBA	PA 		5
CNSV	100	HV	92466	Studio Instruction	4		.	.	.	.	.	.	.			. TBA	PA 		5
CNSV	102	MM	92227	Composition Tutorial	4		.	.	.	.	.	.	.			Melissa Mazzoli	PA 		5
